experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
forecast_safe_ramp,5,18.0,64,0.12363527927936065,0.12463318037758582,0.0009979010982251748,0.06386567028641119,3,4,-1,77
forecast_safe_ramp,5,19.0,65,0.1291320665376226,0.1281919115333471,-0.0009401550042754844,-0.06111007527790649,5,4,1,77
forecast_safe_ramp,5,20.0,57,0.14333920970513836,0.14451435608594154,0.0011751463808031865,0.06698334370578163,0,2,-2,77
forecast_safe_ramp,5,21.0,56,0.12565537217889003,0.1293925140964373,0.003737141917547255,0.20927994738264627,2,4,-2,77
forecast_safe_ramp,5,22.0,57,0.12986938153809555,0.1370295916871445,0.007160210149048925,0.40813197849578875,2,3,-1,77
forecast_safe_ramp,5,23.0,48,0.11708882144756334,0.10858550796180959,-0.008503313485753764,-0.4081590473161807,6,2,4,77
forecast_safe_ramp,5,24.0,53,0.11753562626800718,0.11699046903470041,-0.0005451572333067863,-0.028893333365259677,1,0,1,77
forecast_safe_ramp,5,25.0,57,0.12011601853536012,0.1187948526671735,-0.0013211658681866146,-0.07530645448663703,1,6,-5,77
forecast_safe_ramp,5,26.0,58,0.11860359247831519,0.1174075784528232,-0.0011960140254919807,-0.06936881347853488,3,1,2,77
forecast_safe_ramp,5,27.0,59,0.11793382585837385,0.11398348787623573,-0.003950337982138115,-0.23306994094614877,3,6,-3,77
forecast_safe_ramp,5,28.0,55,0.14286978524869082,0.1416894710614049,-0.001180314187285903,-0.06491728030072466,3,0,3,77
forecast_safe_ramp,5,29.0,57,0.11580205276836834,0.11670698516009029,0.0009049323917219435,0.05158114632815078,0,2,-2,77
forecast_safe_ramp,5,30.0,59,0.12072664498595187,0.11984810431620026,-0.0008785406697516248,-0.051833899515345866,1,0,1,77
forecast_safe_ramp,5,31.0,60,0.14711147511408004,0.1415234501836002,-0.00558802493047982,-0.33528149582878924,2,2,0,77
forecast_safe_ramp,5,32.0,67,0.14278358275237613,0.1382074180466866,-0.004576164705689556,-0.30660303528120025,4,3,1,77
forecast_safe_ramp,5,33.0,68,0.15640340347302575,0.15648287629225294,7.947281922719594e-05,0.005404151707449324,1,8,-7,77
forecast_safe_ramp,5,34.0,74,0.14032700300231127,0.13882598880464583,-0.001501014197665438,-0.11107505062724242,7,4,3,77
forecast_safe_ramp,5,35.0,74,0.11579022577357646,0.12070048582372322,0.004910260050146748,0.36335924371085937,4,4,0,77
forecast_safe_ramp,6,12.0,60,0.11919976646011617,0.12093431267729732,0.0017345462171811554,0.10407277303086933,0,3,-3,77
forecast_safe_ramp,6,13.0,60,0.13531332899499185,0.1322972889862177,-0.0030160400087741396,-0.18096240052644838,3,2,1,77
forecast_safe_ramp,6,14.0,59,0.12191456355561126,0.12103287438964642,-0.0008816891659648398,-0.05201966079192555,3,1,2,77
forecast_safe_ramp,6,15.0,61,0.12120963758662989,0.11561568468519445,-0.005593952901435439,-0.34123112698756175,3,1,2,77
forecast_safe_ramp,6,16.0,59,0.13980751536245917,0.13438801944642756,-0.005419495916031623,-0.31975025904586574,4,3,1,77
forecast_safe_ramp,6,17.0,58,0.12550720809856886,0.12088689014256887,-0.004620317955999992,-0.26797844144799954,6,1,5,77
forecast_safe_ramp,6,18.0,45,0.13307478315675791,0.13110572894922157,-0.00196905420753634,-0.0886074393391353,4,2,2,77
forecast_safe_ramp,6,19.0,39,0.11440000399009402,0.1138705112906722,-0.0005294926994218114,-0.020650215277450645,4,2,2,77
forecast_safe_ramp,6,20.0,28,0.11897674866932394,0.12343504267531258,0.0044582940059886495,0.12483223216768219,0,2,-2,77
forecast_safe_ramp,6,21.0,22,0.15598005617051325,0.1549898575242991,-0.000990198646214127,-0.021784370216710796,1,0,1,77
forecast_safe_ramp,6,22.0,24,0.10101183534536434,0.10910209002596787,0.008090254680603521,0.19416611233448453,1,3,-2,77
forecast_safe_ramp,6,23.0,24,0.07990850444164276,0.08693001607376649,0.007021511632123732,0.16851627917096956,0,2,-2,77
forecast_safe_ramp,6,24.0,18,0.07403754632700384,0.08504959639775483,0.011012050070750987,0.19821690127351776,0,3,-3,77
forecast_safe_ramp,6,25.0,25,0.10148126456535232,0.10107811551999113,-0.00040314904536120313,-0.010078726134030078,2,2,0,77
forecast_safe_ramp,6,26.0,26,0.09639867157441649,0.10124659759121526,0.00484792601679877,0.12604607643676802,2,1,1,77
forecast_safe_ramp,6,27.0,28,0.14003842240412495,0.1372557856786743,-0.0027826367254506607,-0.0779138283126185,2,1,1,77
forecast_safe_ramp,6,28.0,29,0.1321448358560595,0.13287413196972878,0.0007292961136692833,0.021149587296409218,3,0,3,77
forecast_safe_ramp,6,29.0,36,0.12794170808327726,0.1299981895583226,0.002056481475045351,0.07403333310163263,2,1,1,77
forecast_safe_ramp,6,30.0,31,0.1414175483437534,0.14542478680862259,0.004007238464869194,0.12422439241094502,1,2,-1,77
forecast_safe_ramp,6,31.0,34,0.1525181639663196,0.15344547755112142,0.00092731358480182,0.03152866188326188,3,3,0,77
