experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
source_disagreement,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.07976663786187682,0.0005391573320126236,0.11430135438667621,6,5,1,42
source_disagreement,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.13864817309912256,-0.0028316068437750554,-3.8311640596276497,68,62,6,42
source_disagreement,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.12028580430155424,0.0009256448206328385,2.1188009944285673,114,117,-3,42
source_disagreement,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.2626950353520055,0.002975124963166938,2.11828897377486,7,9,-2,42
all_forecast_time_features,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07518110332127914,0.004325826451259176,0.9473559928257597,7,13,-6,42
all_forecast_time_features,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13147302085995147,0.0047186216206080165,7.601699430799514,83,112,-29,42
all_forecast_time_features,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11744798213125594,0.003228855617532006,7.487716177056722,162,218,-56,42
all_forecast_time_features,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.14039157360247642,0.005065161113775654,4.254735335571549,35,70,-35,42
all_forecast_time_features,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10261448382243485,-0.0008102823587776983,-0.1815032483662044,19,17,2,42
all_forecast_time_features,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.13169396642094225,0.0012004528398888304,1.9015172983839075,82,103,-21,42
all_forecast_time_features,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1346251721100211,0.0025620386751409765,5.674915665437263,174,200,-26,42
all_forecast_time_features,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.09791849190079527,-0.0016891423259763794,-1.6097526366554895,49,50,-1,42
all_forecast_time_features,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.08278522319896454,0.0035577426691003437,0.7542414458492729,13,17,-4,42
all_forecast_time_features,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.140237426359733,-0.0012423535831646271,-1.6809043980217406,115,120,-5,42
all_forecast_time_features,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.1194312849066512,7.112542572981316e-05,0.1628060994955423,190,167,23,42
all_forecast_time_features,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.26213575250005344,0.0024158421112148404,1.7200795831849665,13,13,0,42
all_plus_2025_lead_month_weight,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07372532689344684,0.00287005002342686,0.6285409551304824,8,15,-7,42
all_plus_2025_lead_month_weight,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13284645997193573,0.00609206073259227,9.814309840206146,94,122,-28,42
all_plus_2025_lead_month_weight,kpx_group_1,mid_12_50pct,2319,0.11421912651372391,0.11715753200935218,0.0029384054956282557,6.814162344361925,173,214,-41,42
all_plus_2025_lead_month_weight,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13946234590572085,0.0041359334170200995,3.4741840702968836,39,65,-26,42
all_plus_2025_lead_month_weight,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121253,0.10143237682295934,-0.0019923893582532008,-0.446295216248717,14,20,-6,42
all_plus_2025_lead_month_weight,kpx_group_2,high_50_80pct,1584,0.1304935135810534,0.133309186513732,0.002815672932678567,4.46002592536285,98,119,-21,42
all_plus_2025_lead_month_weight,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1328386689394505,0.0007755355045703838,1.7178111426234002,189,189,0,42
all_plus_2025_lead_month_weight,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.10631952109952905,0.006711886872757409,6.396428189737811,37,93,-56,42
all_plus_2025_lead_month_weight,kpx_group_3,ficr_boundary_8_12pct,212,0.0792274805298642,0.07977899099483288,0.0005515104649686798,0.11692021857336012,12,15,-3,42
all_plus_2025_lead_month_weight,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.142621264455358,0.0011414845124603965,1.5444285453589164,117,108,9,42
all_plus_2025_lead_month_weight,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.12004244375382375,0.0006822842729023754,1.5617487006735373,192,163,29,42
all_plus_2025_lead_month_weight,kpx_group_3,very_high_80pct_plus,712,0.2597199103888386,0.26454748467039907,0.004827574281560459,3.437232888471047,12,15,-3,42
lead_basic,kpx_group_1,ficr_boundary_8_12pct,219,0.07110197048862378,0.07116359099685013,6.162050822634413e-05,0.013494891301569365,5,7,-2,77
